"Indicator type","Indicator","Description"
"FileHash-MD5","1ca609e207edb211c8b9566ef35043b6","MD5 of 50124174a4ac0d65bf8b6fd66f538829d1589edc73aa7cf36502e57aa5513360"
"FileHash-MD5","2ec4eeeabb8f6c2970dcbffdcdbd60e3","MD5 of 151257e9dfda476cdafd9983266ad3255104d72a66f9265caa8417a5fe1df5d7"
"FileHash-MD5","65da1a9026cf171a5a7779bc5ee45fb1","MD5 of 3b88b3efbdc86383ee9738c92026b8931ce1c13cd75cd1cda2fa302791c2c4fb"
"FileHash-MD5","876fb1b0275a653c4210aaf01c2698ec","MD5 of 469b534bec827be03c0823e72e7b4da0b84f53199040705da203986ef154406a"
"FileHash-SHA1","a04cff8208769ecdc43e14291273c3a540199d07","SHA1 of 469b534bec827be03c0823e72e7b4da0b84f53199040705da203986ef154406a"
"FileHash-SHA1","a6a29946269107b9fd3bcd85386ef9d7438b7ae1","SHA1 of 3b88b3efbdc86383ee9738c92026b8931ce1c13cd75cd1cda2fa302791c2c4fb"
"FileHash-SHA1","df5ba7ca764063d60eb4dc49d9251c11928b8024","SHA1 of 50124174a4ac0d65bf8b6fd66f538829d1589edc73aa7cf36502e57aa5513360"
"FileHash-SHA1","e7ad8d1d670757eba247d4992af54a9003e35a7d","SHA1 of 151257e9dfda476cdafd9983266ad3255104d72a66f9265caa8417a5fe1df5d7"
"FileHash-SHA256","151257e9dfda476cdafd9983266ad3255104d72a66f9265caa8417a5fe1df5d7",""
"FileHash-SHA256","3b88b3efbdc86383ee9738c92026b8931ce1c13cd75cd1cda2fa302791c2c4fb",""
"FileHash-SHA256","469b534bec827be03c0823e72e7b4da0b84f53199040705da203986ef154406a",""
"FileHash-SHA256","50124174a4ac0d65bf8b6fd66f538829d1589edc73aa7cf36502e57aa5513360",""
"hostname","cloud.msapp.workers.dev",""
"hostname","pubs.infinityfreeapp.com",""
"hostname","resource.infinityfreeapp.com",""
"hostname","word.msapp.workers.dev",""
"hostname","term-restore-satisfied-hence.trycloudflare.com",""
"hostname","ways-sms-pmc-shareholders.trycloudflare.com",""
